,datetime,season,holiday,workingday,weather,temp,humidity,windspeed,casual,registered,rented_bikes_count,year,month,day name,day,hour
0,2011-01-01 00:00:00,Spring,0.0,0.0,Clear,9.84,81.0,12.709552637083517,3,13,16,2011,January,Saturday,1,0
1,2011-01-01 01:00:00,Spring,0.0,0.0,Clear,9.02,80.0,0.0,8,32,40,2011,January,Saturday,1,1
2,2011-01-01 02:00:00,Spring,0.0,0.0,Clear,9.02,61.8498288843258,0.0,5,27,32,2011,January,Saturday,1,2
3,2011-01-01 03:00:00,Spring,0.0,0.0,Clear,9.84,75.0,0.0,3,10,13,2011,January,Saturday,1,3
4,2011-01-01 06:00:00,Spring,0.0,0.0,Clear,20.299853904282116,61.8498288843258,0.0,2,0,2,2011,January,Saturday,1,6
5,2011-01-01 07:00:00,Spring,0.0,0.0,Clear,8.2,61.8498288843258,12.709552637083517,1,2,3,2011,January,Saturday,1,7
6,2011-01-01 08:00:00,Spring,0.0,0.0,Clear,9.84,61.8498288843258,0.0,1,7,8,2011,January,Saturday,1,8
7,2011-01-01 09:00:00,Spring,0.0,0.0,Clear,20.299853904282116,76.0,0.0,8,6,14,2011,January,Saturday,1,9
8,2011-01-01 10:00:00,Spring,0.0,0.0,Clear,15.58,76.0,12.709552637083517,12,24,36,2011,January,Saturday,1,10
9,2011-01-01 11:00:00,Spring,0.0,0.0,Clear,14.76,81.0,19.0012,26,30,56,2011,January,Saturday,1,11
10,2011-01-01 12:00:00,Spring,0.0,1.0,Clear,20.299853904282116,77.0,19.0012,29,55,84,2011,January,Saturday,1,12
11,2011-01-01 13:00:00,Spring,0.0,0.0,Mist,18.86,61.8498288843258,12.709552637083517,47,47,94,2011,January,Saturday,1,13
12,2011-01-01 14:00:00,Spring,0.0,0.0,Mist,18.86,72.0,19.0012,35,71,106,2011,January,Saturday,1,14
13,2011-01-01 15:00:00,Spring,0.0,0.0,Mist,18.04,77.0,19.9995,40,70,110,2011,January,Saturday,1,15
14,2011-01-01 16:00:00,Spring,0.0,0.0,Mist,17.22,82.0,19.9995,41,52,93,2011,January,Saturday,1,16
15,2011-01-01 17:00:00,Spring,0.0,1.0,Mist,18.04,82.0,19.0012,15,52,67,2011,January,Saturday,1,17
16,2011-01-01 18:00:00,Spring,0.0,0.0,Rainy,17.22,88.0,16.9979,9,26,35,2011,January,Saturday,1,18
17,2011-01-01 19:00:00,Spring,0.0,0.0,Rainy,17.22,61.8498288843258,16.9979,6,31,37,2011,January,Saturday,1,19
18,2011-01-01 20:00:00,Spring,0.0,0.0,Mist,16.4,61.8498288843258,16.9979,11,25,36,2011,January,Saturday,1,20
19,2011-01-01 21:00:00,Spring,0.0,0.0,Mist,20.299853904282116,87.0,12.998,3,31,34,2011,January,Saturday,1,21
20,2011-01-01 22:00:00,Spring,0.0,0.0,Mist,16.4,61.8498288843258,12.709552637083517,11,17,28,2011,January,Saturday,1,22
21,2011-01-01 23:00:00,Spring,0.0,0.0,Mist,20.299853904282116,61.8498288843258,12.709552637083517,15,24,39,2011,January,Saturday,1,23
22,2011-01-02 00:00:00,Spring,0.0,1.0,Mist,18.86,88.0,19.9995,4,13,17,2011,January,Sunday,2,0
23,2011-01-02 01:00:00,Spring,0.0,0.0,Mist,18.04,61.8498288843258,12.709552637083517,1,16,17,2011,January,Sunday,2,1
24,2011-01-02 02:00:00,Spring,0.0,0.0,Mist,17.22,100.0,19.0012,1,8,9,2011,January,Sunday,2,2
25,2011-01-02 03:00:00,Spring,0.0,0.0,Mist,20.299853904282116,61.8498288843258,12.998,2,4,6,2011,January,Sunday,2,3
26,2011-01-02 04:00:00,Spring,0.0,1.0,Mist,18.86,61.8498288843258,12.998,2,1,3,2011,January,Sunday,2,4
27,2011-01-02 06:00:00,Spring,0.0,0.0,Rainy,20.299853904282116,61.8498288843258,19.9995,0,2,2,2011,January,Sunday,2,6
28,2011-01-02 07:00:00,Spring,0.0,0.0,Clear,16.4,61.8498288843258,12.998,0,1,1,2011,January,Sunday,2,7
29,2011-01-02 08:00:00,Spring,0.0,0.0,Rainy,16.4,71.0,15.0013,0,8,8,2011,January,Sunday,2,8
30,2011-01-02 09:00:00,Spring,0.0,1.0,Mist,15.58,76.0,12.709552637083517,1,19,20,2011,January,Sunday,2,9
31,2011-01-02 10:00:00,Spring,0.0,1.0,Clear,14.76,81.0,15.0013,7,46,53,2011,January,Sunday,2,10
32,2011-01-02 11:00:00,Spring,0.0,0.0,Clear,14.76,61.8498288843258,16.9979,16,54,70,2011,January,Sunday,2,11
33,2011-01-02 12:00:00,Spring,0.0,0.0,Mist,14.76,66.0,12.709552637083517,20,73,93,2011,January,Sunday,2,12
34,2011-01-02 13:00:00,Spring,0.0,0.0,Mist,14.76,61.8498288843258,8.9981,11,64,75,2011,January,Sunday,2,13
35,2011-01-02 14:00:00,Spring,0.0,0.0,Rainy,14.76,76.0,12.709552637083517,4,55,59,2011,January,Sunday,2,14
36,2011-01-02 15:00:00,Spring,0.0,0.0,Rainy,13.94,81.0,11.0014,19,55,74,2011,January,Sunday,2,15
37,2011-01-02 16:00:00,Spring,0.0,0.0,Rainy,13.94,71.0,11.0014,9,67,76,2011,January,Sunday,2,16
38,2011-01-02 17:00:00,Spring,0.0,0.0,Clear,13.94,57.0,12.709552637083517,7,58,65,2011,January,Sunday,2,17
39,2011-01-02 18:00:00,Spring,0.0,0.0,Clear,14.76,61.8498288843258,22.0028,10,43,53,2011,January,Sunday,2,18
40,2011-01-02 19:00:00,Spring,0.0,0.0,Clear,13.12,42.0,12.709552637083517,1,29,30,2011,January,Sunday,2,19
41,2011-01-02 20:00:00,Spring,0.0,0.0,Clear,12.3,39.0,23.9994,5,17,22,2011,January,Sunday,2,20
42,2011-01-02 21:00:00,Spring,0.0,0.0,Clear,10.66,44.0,22.0028,11,20,31,2011,January,Sunday,2,21
43,2011-01-02 22:00:00,Spring,0.0,0.0,Clear,9.84,44.0,19.9995,0,9,9,2011,January,Sunday,2,22
44,2011-01-02 23:00:00,Spring,0.0,1.0,Clear,20.299853904282116,47.0,11.0014,0,8,8,2011,January,Sunday,2,23
45,2011-01-03 00:00:00,Spring,0.0,1.0,Clear,20.299853904282116,44.0,23.9994,0,5,5,2011,January,Monday,3,0
46,2011-01-03 01:00:00,Spring,0.0,1.0,Clear,8.2,44.0,12.709552637083517,0,2,2,2011,January,Monday,3,1
47,2011-01-03 04:00:00,Spring,0.0,1.0,Clear,6.56,61.8498288843258,26.0027,0,1,1,2011,January,Monday,3,4
48,2011-01-03 05:00:00,Spring,0.0,1.0,Clear,6.56,47.0,12.709552637083517,0,3,3,2011,January,Monday,3,5
49,2011-01-03 06:00:00,Spring,0.0,1.0,Clear,5.74,50.0,26.0027,0,30,30,2011,January,Monday,3,6
50,2011-01-03 07:00:00,Spring,0.0,1.0,Clear,5.74,61.8498288843258,12.998,1,63,64,2011,January,Monday,3,7
51,2011-01-03 08:00:00,Spring,0.0,1.0,Clear,20.299853904282116,61.8498288843258,12.709552637083517,1,153,154,2011,January,Monday,3,8
52,2011-01-03 09:00:00,Spring,0.0,1.0,Clear,6.56,43.0,12.709552637083517,7,81,88,2011,January,Monday,3,9
53,2011-01-03 10:00:00,Spring,0.0,1.0,Clear,7.38,43.0,12.709552637083517,11,33,44,2011,January,Monday,3,10
54,2011-01-03 11:00:00,Spring,0.0,1.0,Clear,8.2,61.8498288843258,12.709552637083517,10,41,51,2011,January,Monday,3,11
55,2011-01-03 12:00:00,Spring,0.0,1.0,Clear,20.299853904282116,61.8498288843258,19.9995,13,48,61,2011,January,Monday,3,12
56,2011-01-03 13:00:00,Spring,0.0,1.0,Clear,9.84,35.0,12.709552637083517,8,53,61,2011,January,Monday,3,13
57,2011-01-03 14:00:00,Spring,0.0,1.0,Clear,10.66,30.0,19.0012,11,66,77,2011,January,Monday,3,14
58,2011-01-03 15:00:00,Spring,0.0,1.0,Clear,20.299853904282116,30.0,16.9979,14,58,72,2011,January,Monday,3,15
59,2011-01-03 16:00:00,Spring,0.0,1.0,Clear,10.66,61.8498288843258,12.709552637083517,9,67,76,2011,January,Monday,3,16
60,2011-01-03 17:00:00,Spring,0.0,1.0,Clear,9.84,30.0,15.0013,11,146,157,2011,January,Monday,3,17
61,2011-01-03 18:00:00,Spring,0.0,1.0,Clear,9.84,61.8498288843258,7.0015,9,148,157,2011,January,Monday,3,18
62,2011-01-03 19:00:00,Spring,0.0,1.0,Clear,8.2,47.0,0.0,8,102,110,2011,January,Monday,3,19
63,2011-01-03 20:00:00,Spring,0.0,1.0,Clear,8.2,61.8498288843258,7.0015,3,49,52,2011,January,Monday,3,20
64,2011-01-03 21:00:00,Spring,0.0,1.0,Clear,20.299853904282116,61.8498288843258,8.9981,3,49,52,2011,January,Monday,3,21
65,2011-01-03 22:00:00,Spring,0.0,1.0,Clear,5.74,69.0,12.709552637083517,0,20,20,2011,January,Monday,3,22
66,2011-01-03 23:00:00,Spring,0.0,1.0,Clear,7.38,55.0,12.709552637083517,1,11,12,2011,January,Monday,3,23
67,2011-01-04 00:00:00,Spring,0.0,1.0,Clear,6.56,61.8498288843258,7.0015,0,5,5,2011,January,Tuesday,4,0
68,2011-01-04 01:00:00,Spring,0.0,1.0,Clear,6.56,59.0,7.0015,0,2,2,2011,January,Tuesday,4,1
69,2011-01-04 02:00:00,Spring,0.0,1.0,Clear,5.74,63.0,8.9981,0,1,1,2011,January,Tuesday,4,2
70,2011-01-04 04:00:00,Spring,0.0,1.0,Clear,20.299853904282116,63.0,12.709552637083517,0,2,2,2011,January,Tuesday,4,4
71,2011-01-04 05:00:00,Spring,0.0,1.0,Clear,20.299853904282116,68.0,7.0015,0,4,4,2011,January,Tuesday,4,5
72,2011-01-04 06:00:00,Spring,0.0,1.0,Clear,4.92,74.0,12.709552637083517,0,36,36,2011,January,Tuesday,4,6
